date,market,stock_no,stock_name,foreign_buy,foreign_sell,foreign_net,foreign_dealer_buy,foreign_dealer_sell,foreign_dealer_net,foreign_total_buy,foreign_total_sell,foreign_total_net,investment_trust_buy,investment_trust_sell,investment_trust_net,dealer_self_buy,dealer_self_sell,dealer_self_net,dealer_hedge_buy,dealer_hedge_sell,dealer_hedge_net,dealer_total_buy,dealer_total_sell,dealer_total_net,overall_net
2025-11-10,TPEX,00864B,中信美國公債0-1,481000,33000,448000,0,0,0,481000,33000,448000,0,0,0,0,0,0,935000,674000,261000,935000,674000,261000,709000
2025-11-10,TPEX,00867B,新光A-BBB電信債,0,1000,-1000,0,0,0,0,1000,-1000,0,0,0,0,0,0,200000,200131,-131,200000,200131,-131,-1131
2025-11-10,TPEX,00870B,元大15年EM主權債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,0,1000,1000,0,0
2025-11-10,TPEX,00877,復華中國5G,789000,356000,433000,0,0,0,789000,356000,433000,0,0,0,0,0,0,604723,761595,-156872,604723,761595,-156872,276128
2025-11-10,TPEX,00883B,中信ESG投資級債,0,1000,-1000,0,0,0,0,1000,-1000,0,0,0,0,0,0,339148,339118,30,339148,339118,30,-970
2025-11-10,TPEX,00884B,中信低碳新興債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300188,302016,-1828,300188,302016,-1828,-1828
2025-11-10,TPEX,00886,永豐美國科技,2000,5000,-3000,0,0,0,2000,5000,-3000,0,0,0,0,0,0,0,10293,-10293,0,10293,-10293,-13293
2025-11-10,TPEX,00887,永豐中國科技50大,1381000,926000,455000,0,0,0,1381000,926000,455000,0,0,0,0,0,0,1297004,1205604,91400,1297004,1205604,91400,546400
2025-11-10,TPEX,00888,永豐台灣ESG,58000,10000,48000,0,0,0,58000,10000,48000,0,0,0,0,0,0,456000,105931,350069,456000,105931,350069,398069
2025-11-10,TPEX,00890B,凱基ESG BBB債15+,10000,4000,6000,0,0,0,10000,4000,6000,0,0,0,0,0,0,500000,500000,0,500000,500000,0,6000
2025-11-10,TPEX,00928,中信上櫃ESG 30,18000,31000,-13000,0,0,0,18000,31000,-13000,0,0,0,0,0,0,206588,134498,72090,206588,134498,72090,59090
2025-11-10,TPEX,00931B,統一美債20年,6000,1239000,-1233000,0,0,0,6000,1239000,-1233000,0,0,0,0,0,0,5026999,1716617,3310382,5026999,1716617,3310382,2077382
2025-11-10,TPEX,00933B,國泰10Y+金融債,8450999,3706000,4744999,0,0,0,8450999,3706000,4744999,0,0,0,0,579000,-579000,5891516,2066796,3824720,5891516,2645796,3245720,7990719
2025-11-10,TPEX,00937B,群益ESG投等債20+,9221700,9281000,-59300,0,0,0,9221700,9281000,-59300,0,0,0,1638000,2118000,-480000,29376000,14978160,14397840,31014000,17096160,13917840,13858540
2025-11-10,TPEX,00942B,台新美A公司債20+,50000,733000,-683000,0,0,0,50000,733000,-683000,0,0,0,0,0,0,1617000,44699,1572301,1617000,44699,1572301,889301
2025-11-10,TPEX,00948B,中信優息投資級債,5061000,3786000,1275000,0,0,0,5061000,3786000,1275000,0,0,0,0,0,0,4385000,1833596,2551404,4385000,1833596,2551404,3826404
2025-11-10,TPEX,00950B,凱基A級公司債,1139000,404000,735000,0,0,0,1139000,404000,735000,0,0,0,0,0,0,3905281,1541960,2363321,3905281,1541960,2363321,3098321
